number,name,rarity,packs
213,Cinccino,♢♢,Charizard:Mewtwo:Pikachu
214,Wooloo,♢,Charizard:Mewtwo:Pikachu
215,Dubwool,♢,Charizard:Mewtwo:Pikachu
216,Helix Fossil,♢,Pikachu
217,Dome Fossil,♢,Charizard
218,Old Amber,♢,Mewtwo
219,Erika,♢♢,Charizard
220,Misty,♢♢,Pikachu
221,Blaine,♢♢,Charizard
222,Koga,♢♢,Mewtwo
223,Giovanni,♢♢,Mewtwo
224,Brock,♢♢,Pikachu
225,Sabrina,♢♢,Charizard
226,Lt. Surge,♢♢,Pikachu
227,Bulbasaur,☆,Mewtwo
228,Gloom,☆,Charizard
229,Pinsir,☆,Charizard
230,Charmander,☆,Charizard
231,Rapidash,☆,Charizard
232,Squirtle,☆,Pikachu
233,Gyarados,☆,Pikachu
234,Lapras,☆,Charizard
235,Electrode,☆,Pikachu
236,Alakazam,☆,Charizard
237,Slowpoke,☆,Charizard
238,Diglett,☆,Pikachu
239,Cubone,☆,Mewtwo
240,Nidoqueen,☆,Pikachu
241,Nidoking,☆,Pikachu
242,Golbat,☆,Mewtwo
243,Weezing,☆,Mewtwo
244,Dragonite,☆,Mewtwo
245,Pidgeot,☆,Mewtwo
246,Meowth,☆,Charizard
247,Ditto,☆,Mewtwo
248,Eevee,☆,Pikachu
249,Porygon,☆,Mewtwo
250,Snorlax,☆,Pikachu
251,Venusaur ex,☆☆,Mewtwo
252,Exeggutor ex,☆☆,Charizard
253,Charizard ex,☆☆,Charizard
254,Arcanine ex,☆☆,Pikachu
255,Moltres ex,☆☆,Charizard
256,Blastoise ex,☆☆,Pikachu
257,Starmie ex,☆☆,Charizard
258,Articuno ex,☆☆,Mewtwo
259,Pikachu ex,☆☆,Pikachu
260,Zapdos ex,☆☆,Pikachu
261,Gengar ex,☆☆,Mewtwo
262,Mewtwo ex,☆☆,Mewtwo
263,Machamp ex,☆☆,Charizard
264,Marowak ex,☆☆,Mewtwo
265,Wigglytuff ex,☆☆,Pikachu
266,Erika,☆☆,Charizard
267,Misty,☆☆,Pikachu
268,Blaine,☆☆,Charizard
269,Koga,☆☆,Mewtwo
270,Giovanni,☆☆,Mewtwo
271,Brock,☆☆,Pikachu
272,Sabrina,☆☆,Charizard
273,Lt. Surge,☆☆,Pikachu
274,Moltres ex,☆☆,Charizard
275,Articuno ex,☆☆,Mewtwo
276,Zapdos ex,☆☆,Pikachu
277,Gengar ex,☆☆,Mewtwo
278,Machamp ex,☆☆,Charizard
279,Wigglytuff ex,☆☆,Pikachu
280,Charizard ex,☆☆☆,Charizard
281,Pikachu ex,☆☆☆,Pikachu
282,Mewtwo ex,☆☆☆,Mewtwo
283,Mew,☆☆☆,
284,Charizard ex,♕,Charizard:Mewtwo:Pikachu
285,Pikachu ex,♕,Charizard:Mewtwo:Pikachu
286,Mewtwo ex,♕,Charizard:Mewtwo:Pikachu
