number,name,rarity,packs
130,Aipom,♢,Dialga:Palkia
131,Ambipom,♢,Dialga:Palkia
132,Starly,♢,Palkia
133,Staravia,♢,Palkia
134,Staraptor,♢♢,Palkia
135,Bidoof,♢,Dialga
136,Bibarel,♢,Dialga
137,Buneary,♢,Dialga
138,Lopunny,♢,Dialga
139,Glameow,♢,Palkia
140,Purugly,♢♢,Palkia
141,Chatot,♢,Palkia
142,Fan Rotom,♢,Dialga:Palkia
143,Regigigas,♢♢♢,Dialga:Palkia
144,Skull Fossil,♢,Dialga
145,Armor Fossil,♢,Palkia
146,Pokémon Communication,♢♢,Dialga
147,Giant Cape,♢♢,Dialga
148,Rocky Helmet,♢♢,Palkia
149,Lum Berry,♢♢,Palkia
150,Cyrus,♢♢,Palkia
151,Team Galactic Grunt,♢♢,Dialga
152,Cynthia,♢♢,Palkia
153,Volkner,♢♢,Dialga
154,Dawn,♢♢,Dialga
155,Mars,♢♢,Palkia
156,Tangrowth,☆,Dialga
157,Combee,☆,Dialga
158,Carnivine,☆,Palkia
159,Shaymin,☆,Dialga
160,Mamoswine,☆,Dialga
161,Gastrodon,☆,Palkia
162,Manaphy,☆,Palkia
163,Shinx,☆,Dialga
164,Rotom,☆,Palkia
165,Drifloon,☆,Dialga
166,Mesprit,☆,Dialga
167,Giratina,☆,Palkia
168,Cresselia,☆,Palkia
169,Rhyperior,☆,Palkia
170,Lucario,☆,Dialga
171,Hippopotas,☆,Palkia
172,Spiritomb,☆,Palkia
173,Croagunk,☆,Dialga
174,Heatran,☆,Dialga
175,Garchomp,☆,Palkia
176,Staraptor,☆,Palkia
177,Bidoof,☆,Dialga
178,Glameow,☆,Palkia
179,Regigigas,☆,Dialga
180,Yanmega ex,☆☆,Dialga
181,Infernape ex,☆☆,Palkia
182,Palkia ex,☆☆,Palkia
183,Pachirisu ex,☆☆,Dialga
184,Mismagius ex,☆☆,Palkia
185,Gallade ex,☆☆,Dialga
186,Weavile ex,☆☆,Palkia
187,Darkrai ex,☆☆,Dialga
188,Dialga ex,☆☆,Dialga
189,Lickilicky ex,☆☆,Palkia
190,Cyrus,☆☆,Palkia
191,Team Galactic Grunt,☆☆,Dialga
192,Cynthia,☆☆,Palkia
193,Volkner,☆☆,Dialga
194,Dawn,☆☆,Dialga
195,Mars,☆☆,Palkia
196,Yanmega ex,☆☆,Dialga
197,Infernape ex,☆☆,Palkia
198,Pachirisu ex,☆☆,Dialga
199,Mismagius ex,☆☆,Palkia
200,Gallade ex,☆☆,Dialga
201,Weavile ex,☆☆,Palkia
202,Darkrai ex,☆☆,Dialga
203,Lickilicky ex,☆☆,Palkia
204,Palkia ex,☆☆☆,Palkia
205,Dialga ex,☆☆☆,Dialga
206,Palkia ex,♕,Dialga:Palkia
207,Dialga ex,♕,Dialga:Palkia
