number,name,rarity,packs
139,Bewear,♢♢♢,Lunala
140,Oranguru,♢♢♢,Lunala
141,Komala,♢♢,Solgaleo
142,Big Malasada,♢♢,Solgaleo|Lunala
143,Fishing Net,♢♢,Lunala
144,Rare Candy,♢♢,Solgaleo|Lunala
145,Rotom Dex,♢♢,Solgaleo
146,Poison Barb,♢♢,Lunala
147,Leaf Cape,♢♢,Solgaleo
148,Acerola,♢♢,Lunala
149,Ilima,♢♢,Lunala
150,Kiawe,♢♢,Lunala
151,Guzma,♢♢,Lunala
152,Lana,♢♢,Solgaleo
153,Sophocles,♢♢,Solgaleo
154,Mallow,♢♢,Solgaleo
155,Lillie,♢♢,Solgaleo
156,Alolan Exeggutor,☆,Lunala
157,Morelull,☆,Lunala
158,Tsareena,☆,Solgaleo
159,Tapu Bulu,☆,Solgaleo
160,Alolan Marowak,☆,Lunala
161,Turtonator,☆,Lunala
162,Alolan Vulpix,☆,Lunala
163,Pyukumuku,☆,Lunala
164,Tapu Fini,☆,Lunala
165,Oricorio,☆,Solgaleo
166,Tapu Koko,☆,Solgaleo
167,Cutiefly,☆,Solgaleo
168,Comfey,☆,Solgaleo
169,Sandygast,☆,Solgaleo
170,Tapu Lele,☆,Lunala
171,Cosmog,☆,Lunala
172,Rockruff,☆,Solgaleo
173,Mudsdale,☆,Solgaleo
174,Minior,☆,Lunala
175,Magearna,☆,Solgaleo
176,Drampa,☆,Solgaleo
177,Pikipek,☆,Lunala
178,Bewear,☆,Lunala
179,Komala,☆,Solgaleo
180,Decidueye ex,☆☆,Lunala
181,Dhelmise ex,☆☆,Solgaleo
182,Incineroar ex,☆☆,Solgaleo
183,Crabominable ex,☆☆,Solgaleo
184,Wishiwashi ex,☆☆,Lunala
185,Alolan Raichu ex,☆☆,Solgaleo
186,Lunala ex,☆☆,Lunala
187,Passimian ex,☆☆,Lunala
188,Alolan Muk ex,☆☆,Lunala
189,Solgaleo ex,☆☆,Solgaleo
190,Acerola,☆☆,Lunala
191,Ilima,☆☆,Lunala
192,Kiawe,☆☆,Lunala
193,Guzma,☆☆,Lunala
194,Lana,☆☆,Solgaleo
195,Sophocles,☆☆,Solgaleo
196,Mallow,☆☆,Solgaleo
197,Lillie,☆☆,Solgaleo
198,Decidueye ex,☆☆,Lunala
199,Dhelmise ex,☆☆,Solgaleo
200,Incineroar ex,☆☆,Solgaleo
201,Crabominable ex,☆☆,Solgaleo
202,Wishiwashi ex,☆☆,Lunala
203,Alolan Raichu ex,☆☆,Solgaleo
204,Lunala ex,☆☆,Lunala
205,Passimian ex,☆☆,Lunala
206,Alolan Muk ex,☆☆,Lunala
207,Solgaleo ex,☆☆,Solgaleo
208,Guzma,☆☆☆,Lunala
209,Lillie,☆☆☆,Solgaleo
210,Bulbasaur,✵,Solgaleo
211,Ivysaur,✵,Solgaleo
212,Venusaur,✵,Solgaleo
213,Exeggcute,✵,Lunala
214,Exeggutor,✵,Lunala
215,Squirtle,✵,Lunala
216,Wartortle,✵,Lunala
217,Blastoise,✵,Lunala
218,Staryu,✵,Solgaleo
219,Starmie,✵,Solgaleo
220,Gastly,✵,Lunala
221,Haunter,✵,Lunala
222,Gengar,✵,Lunala
223,Machop,✵,Solgaleo
224,Machoke,✵,Solgaleo
225,Machamp,✵,Solgaleo
226,Cubone,✵,Lunala
227,Marowak,✵,Lunala
228,Jigglypuff,✵,Solgaleo
229,Wigglytuff,✵,Solgaleo
230,Venusaur ex,✵✵,Solgaleo
231,Exeggutor ex,✵✵,Lunala
232,Blastoise ex,✵✵,Lunala
233,Starmie ex,✵✵,Solgaleo
234,Gengar ex,✵✵,Lunala
235,Machamp ex,✵✵,Solgaleo
236,Marowak ex,✵✵,Lunala
237,Wigglytuff ex,✵✵,Solgaleo
238,Lunala ex,♕,Solgaleo|Lunala
239,Solgaleo ex,♕,Solgaleo|Lunala
